param#0 	 dist 	  wgt 
1.363844 	0.000000 	0.050000 	
0.292670 	0.000000 	0.050000 	
0.076191 	0.000000 	0.050000 	
0.598058 	0.000000 	0.050000 	
0.058446 	0.000000 	0.050000 	
1.463000 	0.000000 	0.050000 	
0.522652 	0.000000 	0.050000 	
1.653423 	0.000000 	0.050000 	
1.334085 	0.000000 	0.050000 	
0.149872 	0.000000 	0.050000 	
0.686319 	0.000000 	0.050000 	
0.115834 	0.000000 	0.050000 	
1.418781 	0.000000 	0.050000 	
1.347772 	0.000000 	0.050000 	
0.318095 	0.000000 	0.050000 	
0.845155 	0.000000 	0.050000 	
1.468863 	0.000000 	0.050000 	
1.346730 	0.000000 	0.050000 	
0.083800 	0.000000 	0.050000 	
0.466198 	0.000000 	0.050000 	
0.459389 	0.000000 	0.051400 	
0.852673 	0.000000 	0.109437 	
1.427101 	0.000000 	0.021250 	
0.331837 	0.000000 	0.047390 	
0.289760 	0.000000 	0.042093 	
1.359484 	0.000000 	0.022242 	
0.216822 	0.000000 	0.044340 	
0.361333 	0.000000 	0.049224 	
0.119446 	0.000000 	0.020023 	
0.050348 	0.000000 	0.024298 	
1.079141 	0.000000 	0.099804 	
0.497365 	0.000000 	0.042597 	
0.381129 	0.000000 	0.059463 	
0.433649 	0.000000 	0.071728 	
0.105058 	0.000000 	0.047534 	
1.293442 	0.000000 	0.050333 	
1.323286 	0.000000 	0.026261 	
0.532185 	0.000000 	0.042099 	
0.654476 	0.000000 	0.056418 	
1.180911 	0.000000 	0.072068 	
1.025545 	0.000000 	0.069080 	
0.901464 	0.000000 	0.059488 	
0.367747 	0.000000 	0.031214 	
0.502814 	0.000000 	0.031795 	
0.495260 	0.000000 	0.031386 	
1.019261 	0.000000 	0.062932 	
0.366685 	0.000000 	0.031782 	
0.801078 	0.000000 	0.069816 	
0.438177 	0.000000 	0.031345 	
0.725857 	0.000000 	0.070508 	
0.627782 	0.000000 	0.048597 	
1.050588 	0.000000 	0.059299 	
0.081579 	0.000000 	0.067930 	
0.180274 	0.000000 	0.058283 	
0.275114 	0.000000 	0.036806 	
0.312705 	0.000000 	0.033734 	
0.525330 	0.000000 	0.037741 	
0.634146 	0.000000 	0.057190 	
0.407349 	0.000000 	0.042857 	
0.101013 	0.000000 	0.068216 	
0.332656 	0.000000 	0.051201 	
0.286287 	0.000000 	0.052988 	
0.149433 	0.000000 	0.049104 	
0.627987 	0.000000 	0.049280 	
0.070858 	0.000000 	0.055064 	
0.179685 	0.000000 	0.059652 	
0.022231 	0.000000 	0.090706 	
0.721972 	0.000000 	0.052330 	
0.361221 	0.000000 	0.047166 	
0.404496 	0.000000 	0.049500 	
0.112830 	0.000000 	0.064297 	
0.986923 	0.000000 	0.059239 	
0.389966 	0.000000 	0.049102 	
0.917622 	0.000000 	0.054771 	
-0.089311 	0.000000 	0.000000 	
0.204197 	0.000000 	0.059194 	
0.406607 	0.000000 	0.047035 	
-0.013530 	0.000000 	0.000000 	
0.270489 	0.000000 	0.060582 	
0.403266 	0.000000 	0.048790 	
0.358926 	0.000000 	0.039726 	
0.412931 	0.000000 	0.051050 	
0.302366 	0.000000 	0.042449 	
0.390006 	0.000000 	0.064560 	
0.131929 	0.000000 	0.048221 	
0.006220 	0.000000 	0.084217 	
0.503190 	0.000000 	0.154067 	
-0.468483 	0.000000 	0.000000 	
0.365507 	0.000000 	0.033105 	
0.330493 	0.000000 	0.048185 	
0.304949 	0.000000 	0.043300 	
-0.043675 	0.000000 	0.000000 	
0.028494 	0.000000 	0.046444 	
0.142223 	0.000000 	0.081466 	
0.127006 	0.000000 	0.047114 	
0.294148 	0.000000 	0.043018 	
0.365477 	0.000000 	0.031753 	
0.236783 	0.000000 	0.046732 	
0.160191 	0.000000 	0.047364 	
0.023993 	0.000000 	0.047230 	
0.067234 	0.000000 	0.086070 	
0.046676 	0.000000 	0.060486 	
0.385783 	0.000000 	0.038377 	
0.284830 	0.000000 	0.047443 	
0.066947 	0.000000 	0.058295 	
0.208242 	0.000000 	0.057843 	
-0.015577 	0.000000 	0.000000 	
0.136889 	0.000000 	0.021716 	
